,id,link,title,month,year,tag,lang,dirty,cleared_title,equals_persian_links,equals_persian_links_counts,persian_year
77,218,https://www.bbc.com/tajik/news/2015/02/150209_l16_china_executes_mafia_tycoon,150209_l16_china_executes_mafia_tycoon,02,2015,news,tajik,l16,china_executes_mafia_tycoon,['https://www.bbc.com/persian/world/2015/02/150209_l26_china_executes_mafia_tycoon'],1,2015
78,219,https://www.bbc.com/tajik/news/2015/02/150209_ea_mulla_rauf_helmand,150209_ea_mulla_rauf_helmand,02,2015,news,tajik,ea,mulla_rauf_helmand,['https://www.bbc.com/persian/afghanistan/2015/02/150209_zs_mulla_rauf_helmand'],1,2015
79,220,https://www.bbc.com/tajik/news/2015/02/150209_ea_ukraine_putin_peaceplan,150209_ea_ukraine_putin_peaceplan,02,2015,news,tajik,ea,ukraine_putin_peaceplan,['https://www.bbc.com/persian/world/2015/02/150209_l31_ukraine_putin_peaceplan'],1,2015
80,223,https://www.bbc.com/tajik/news/2015/02/150209_ea_ukraine_germany_us-plan,150209_ea_ukraine_germany_us-plan,02,2015,news,tajik,ea,ukraine_germany_us-plan,['https://www.bbc.com/persian/world/2015/02/150209_l30_ukraine_germany_us-plan'],1,2015
81,225,https://www.bbc.com/tajik/news/2015/02/150209_ea_iran_nuclear_talks_extension_kerry,150209_ea_iran_nuclear_talks_extension_kerry,02,2015,news,tajik,ea,iran_nuclear_talks_extension_kerry,['https://www.bbc.com/persian/iran/2015/02/150208_l26_iran_nuclear_talks_extension_kerry'],1,2015
82,227,https://www.bbc.com/tajik/news/2015/02/150208_l16_ukraine_britian_russia_germany,150208_l16_ukraine_britian_russia_germany,02,2015,news,tajik,l16,ukraine_britian_russia_germany,['https://www.bbc.com/persian/world/2015/02/150208_l31_ukraine_britian_russia_germany'],1,2015
83,232,https://www.bbc.com/tajik/news/2015/02/150206_rm_iraq_saddam_execution_rope,150206_rm_iraq_saddam_execution_rope,02,2015,news,tajik,rm,iraq_saddam_execution_rope,['https://www.bbc.com/persian/world/2015/02/150205_an_iraq_saddam_execution_rope'],1,2015
84,233,https://www.bbc.com/tajik/news/2015/02/150206_rm_ukraine_crisis_new_diplomatic_push,150206_rm_ukraine_crisis_new_diplomatic_push,02,2015,news,tajik,rm,ukraine_crisis_new_diplomatic_push,['https://www.bbc.com/persian/world/2015/02/150205_u14_ukraine_crisis_new_diplomatic_push'],1,2015
85,238,https://www.bbc.com/tajik/news/2015/02/150205_rm_is_uk_us_jordan,150205_rm_is_uk_us_jordan,02,2015,news,tajik,rm,is_uk_us_jordan,['https://www.bbc.com/persian/world/2015/02/150205_l03_is_uk_us_jordan'],1,2015
86,241,https://www.bbc.com/tajik/news/2015/02/150204_l16_greece_eu_talks,150204_l16_greece_eu_talks,02,2015,news,tajik,l16,greece_eu_talks,['https://www.bbc.com/persian/business/2015/02/150204_l30_greece_eu_talks'],1,2015
87,242,https://www.bbc.com/tajik/news/2015/02/150204_l16_oil_sanctions_circumvention,150204_l16_oil_sanctions_circumvention,02,2015,news,tajik,l16,oil_sanctions_circumvention,['https://www.bbc.com/persian/business/2015/02/150204_l03_oil_sanctions_circumvention'],1,2015
88,246,https://www.bbc.com/tajik/news/2015/02/150203_l16_isis_islamic_state_jordanian_pilot_burning,150203_l16_isis_islamic_state_jordanian_pilot_burning,02,2015,news,tajik,l16,isis_islamic_state_jordanian_pilot_burning,['https://www.bbc.com/persian/world/2015/02/150203_l26_isis_islamic_state_jordanian_pilot_burning'],1,2015
89,247,https://www.bbc.com/tajik/news/2015/02/150203_zkh_quvvatov_freedom,150203_zkh_quvvatov_freedom,02,2015,news,tajik,zkh,quvvatov_freedom,['https://www.bbc.com/persian/world/2015/02/150203_ea_zkh_quvvatov_freedom'],1,2015
90,252,https://www.bbc.com/tajik/news/2015/02/150202_16_iraq_yazidi_mass_grave,150202_16_iraq_yazidi_mass_grave,02,2015,news,tajik,16,iraq_yazidi_mass_grave,['https://www.bbc.com/persian/iran/2015/02/150202_l26_iraq_yazidi_mass_grave'],1,2015
91,253,https://www.bbc.com/tajik/news/2015/02/150202_l16_fajr_satellite_launched,150202_l16_fajr_satellite_launched,02,2015,news,tajik,l16,fajr_satellite_launched,['https://www.bbc.com/persian/science/2015/02/150202_me_fajr_satellite_launched'],1,2015
92,254,https://www.bbc.com/tajik/news/2015/02/150202_l16_egypt_execution_sentence_muslim_brotherhood,150202_l16_egypt_execution_sentence_muslim_brotherhood,02,2015,news,tajik,l16,egypt_execution_sentence_muslim_brotherhood,['https://www.bbc.com/persian/world/2015/02/150202_l26_egypt_execution_sentence_muslim_brotherhood'],1,2015
93,255,https://www.bbc.com/tajik/news/2015/02/150202_l16_strauss_kahn_pimping_trial,150202_l16_strauss_kahn_pimping_trial,02,2015,news,tajik,l16,strauss_kahn_pimping_trial,['https://www.bbc.com/persian/world/2015/02/150202_l43_strauss_kahn_pimping_trial'],1,2015
94,258,https://www.bbc.com/tajik/news/2015/02/150202_rm_peter_greste_aljazeera_journalist_prison_release,150202_rm_peter_greste_aljazeera_journalist_prison_release,02,2015,news,tajik,rm,peter_greste_aljazeera_journalist_prison_release,['https://www.bbc.com/persian/world/2015/02/150201_l26_peter_greste_aljazeera_journalist_prison_release'],1,2015
95,260,https://www.bbc.com/tajik/news/2015/02/150201_l16_new_ministers_af_cabinet,150201_l16_new_ministers_af_cabinet,02,2015,news,tajik,l16,new_ministers_af_cabinet,['https://www.bbc.com/persian/afghanistan/2015/02/150201_l09_new_ministers_af_cabinet'],1,2015
96,261,https://www.bbc.com/tajik/news/2015/02/150201_l16_egypt_ai_accusation,150201_l16_egypt_ai_accusation,02,2015,news,tajik,l16,egypt_ai_accusation,['https://www.bbc.com/persian/world/2015/02/150201_l30_egypt_ai_accusation'],1,2015
